run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_204,,75.0,,0.5,0.25,"[4, 5, 4, 1, 0]","[1, 3, 3, 0, 0]","[3, 2, 1, 1, 0]",True,0.0,14,AUDUSD_D1_2010to101124,20,20,sqrt,30,250,8,1,3,0.56,0.75,0.4,0.25,1.0,0.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_610,,75.0,,0.42857142857142855,0.25,"[7, 3, 2, 2, 0]","[5, 2, 1, 0, 0]","[2, 1, 1, 2, 0]",True,0.0,14,AUDUSD_D1_2010to101124,5,5,log2,25,50,42,1,3,0.6,0.2857142857142857,0.3333333333333333,0.5,1.0,0.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_721,,66.67,,0.574468085106383,0.3333333333333333,"[52, 30, 6, 6, 0]","[25, 11, 4, 0, 0]","[27, 19, 2, 6, 0]",True,0.0,94,AUDUSD_D1_2010to101124,20,5,sqrt,25,120,42,2,4,0.6,0.5192307692307693,0.6333333333333333,0.3333333333333333,1.0,0.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_161,,66.67,,0.6046511627906976,0.3333333333333333,"[22, 16, 3, 2, 0]","[10, 5, 2, 0, 0]","[12, 11, 1, 2, 0]",True,0.0,43,AUDUSD_D1_2010to101124,20,20,sqrt,25,50,26,2,4,0.6,0.5454545454545454,0.6875,0.3333333333333333,1.0,0.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_465,,66.67,,0.45454545454545453,0.3333333333333333,"[8, 9, 4, 1, 0]","[5, 5, 2, 0, 0]","[3, 4, 2, 1, 0]",True,0.0,22,AUDUSD_D1_2010to101124,6,6,sqrt,25,200,8,2,4,0.6,0.375,0.4444444444444444,0.5,1.0,0.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_139,,66.67,16.67,0.4383561643835616,0.3333333333333333,"[36, 25, 8, 2, 2]","[23, 13, 4, 0, 1]","[13, 12, 4, 2, 1]",,,73,AUDUSD_D1_2010to101124,15,15,log2,15,100,26,2,4,0.6,0.3611111111111111,0.48,0.5,1.0,0.5
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_640,,52.38,0.0,0.625,0.3333333333333333,"[82, 62, 23, 14, 3]","[37, 18, 10, 2, 2]","[45, 44, 13, 12, 1]",,,184,AUDUSD_D1_2010to101124,20,1,log2,30,200,26,2,4,0.56,0.5487804878048781,0.7096774193548387,0.5652173913043478,0.8571428571428571,0.3333333333333333
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_65,,50.0,66.67,0.4838709677419355,0.3333333333333333,"[54, 25, 7, 6, 1]","[29, 16, 2, 1, 0]","[25, 9, 5, 5, 1]",,,93,AUDUSD_D1_2010to101124,20,20,log2,15,250,42,1,2,0.6,0.46296296296296297,0.36,0.7142857142857143,0.8333333333333334,1.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_91,,48.48,,0.49504950495049505,0.3333333333333333,"[46, 28, 15, 11, 1]","[28, 12, 8, 2, 1]","[18, 16, 7, 9, 0]",True,0.0,101,AUDUSD_D1_2010to101124,10,6,sqrt,25,250,0,2,4,0.55,0.391304347826087,0.5714285714285714,0.4666666666666667,0.8181818181818182,0.0
HD_f1147a5c-8e8a-475f-ab3d-ec7a32dbb47c_89,,45.24,16.67,0.5767195767195767,0.3333333333333333,"[82, 69, 20, 14, 4]","[39, 27, 9, 3, 2]","[43, 42, 11, 11, 2]",,,189,AUDUSD_D1_2010to101124,20,1,log2,25,250,0,2,4,0.56,0.524390243902439,0.6086956521739131,0.55,0.7857142857142857,0.5
