run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_a08e8fef-c604-4b71-be98-635f565e2f04_766,,25.0,,0.39655172413793105,0.25,"[12, 18, 10, 14, 4]","[8, 10, 6, 7, 4]","[4, 8, 4, 7, 0]",True,0.0,58,AUDUSD_D1_2010to101124,1,10,log2,25,250,0,1,3,0.6,0.3333333333333333,0.4444444444444444,0.4,0.5,0.0
HD_a08e8fef-c604-4b71-be98-635f565e2f04_258,,23.15,,0.4065040650406504,0.25,"[21, 38, 25, 27, 12]","[12, 22, 14, 14, 11]","[9, 16, 11, 13, 1]",True,0.08333333333333333,123,AUDUSD_D1_2010to101124,5,20,sqrt,25,50,42,1,3,0.56,0.42857142857142855,0.42105263157894735,0.44,0.48148148148148145,0.08333333333333333
HD_a08e8fef-c604-4b71-be98-635f565e2f04_373,,18.94,0.0,0.5680933852140078,0.3333333333333333,"[72, 65, 61, 44, 15]","[24, 29, 27, 21, 10]","[48, 36, 34, 23, 5]",,,257,AUDUSD_D1_2010to101124,5,20,log2,30,100,42,1,2,0.56,0.6666666666666666,0.5538461538461539,0.5573770491803278,0.5227272727272727,0.3333333333333333
HD_a08e8fef-c604-4b71-be98-635f565e2f04_342,,17.86,2.27,0.36153846153846153,0.25,"[31, 35, 25, 28, 11]","[19, 23, 17, 16, 8]","[12, 12, 8, 12, 3]",,,130,AUDUSD_D1_2010to101124,1,15,log2,25,200,0,1,3,0.56,0.3870967741935484,0.34285714285714286,0.32,0.42857142857142855,0.2727272727272727
HD_a08e8fef-c604-4b71-be98-635f565e2f04_170,,17.86,,0.3793103448275862,0.25,"[27, 32, 27, 21, 9]","[16, 19, 18, 12, 7]","[11, 13, 9, 9, 2]",True,0.2222222222222222,116,AUDUSD_D1_2010to101124,1,15,log2,30,150,0,1,3,0.55,0.4074074074074074,0.40625,0.3333333333333333,0.42857142857142855,0.2222222222222222
HD_a08e8fef-c604-4b71-be98-635f565e2f04_44,,16.67,,0.5,0.3333333333333333,"[159, 135, 125, 86, 37]","[65, 65, 72, 43, 26]","[94, 70, 53, 43, 11]",True,0.2972972972972973,542,AUDUSD_D1_2010to101124,6,20,log2,30,100,8,1,2,0.5,0.5911949685534591,0.5185185185185185,0.424,0.5,0.2972972972972973
HD_a08e8fef-c604-4b71-be98-635f565e2f04_250,,16.67,25.0,0.46,0.25,"[13, 16, 7, 12, 2]","[7, 9, 3, 7, 1]","[6, 7, 4, 5, 1]",,,50,AUDUSD_D1_2010to101124,1,5,log2,25,250,0,1,3,0.6,0.46153846153846156,0.4375,0.5714285714285714,0.4166666666666667,0.5
HD_a08e8fef-c604-4b71-be98-635f565e2f04_790,,15.65,7.84,0.5264705882352941,0.3333333333333333,"[113, 81, 80, 49, 17]","[56, 31, 39, 25, 10]","[57, 50, 41, 24, 7]",,,340,AUDUSD_D1_2010to101124,1,20,log2,20,50,8,1,2,0.6,0.504424778761062,0.6172839506172839,0.5125,0.4897959183673469,0.4117647058823529
HD_a08e8fef-c604-4b71-be98-635f565e2f04_652,,15.56,,0.5714285714285714,0.3333333333333333,"[53, 60, 60, 45, 13]","[18, 21, 26, 23, 11]","[35, 39, 34, 22, 2]",True,0.15384615384615385,231,AUDUSD_D1_2010to101124,20,10,log2,30,100,8,1,2,0.6,0.660377358490566,0.65,0.5666666666666667,0.4888888888888889,0.15384615384615385
HD_a08e8fef-c604-4b71-be98-635f565e2f04_102,,15.28,,0.6736434108527132,0.5,"[430, 343, 251, 193, 73]","[123, 110, 84, 67, 37]","[307, 233, 167, 126, 36]",True,0.4931506849315068,1290,AUDUSD_D1_2010to101124,20,20,log2,25,120,8,1,1,0.6,0.713953488372093,0.6793002915451894,0.6653386454183267,0.6528497409326425,0.4931506849315068
