run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_573,,75.0,,0.4166666666666667,0.25,"[7, 8, 8, 1, 0]","[3, 6, 5, 0, 0]","[4, 2, 3, 1, 0]",True,0.0,24,EURUSD_D1_2010to101124,10,10,sqrt,30,100,42,1,3,0.56,0.5714285714285714,0.25,0.375,1.0,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_672,,75.0,,0.6153846153846154,0.25,"[12, 6, 6, 1, 1]","[4, 3, 2, 0, 1]","[8, 3, 4, 1, 0]",True,0.0,26,EURUSD_D1_2010to101124,6,10,sqrt,30,120,0,1,3,0.56,0.6666666666666666,0.5,0.6666666666666666,1.0,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_477,,75.0,,0.6,0.25,"[17, 10, 6, 1, 1]","[9, 3, 1, 0, 1]","[8, 7, 5, 1, 0]",True,0.0,35,EURUSD_D1_2010to101124,1,10,log2,25,100,42,1,3,0.6,0.47058823529411764,0.7,0.8333333333333334,1.0,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_49,,66.67,66.67,0.5568181818181818,0.3333333333333333,"[47, 25, 9, 5, 2]","[21, 16, 2, 0, 0]","[26, 9, 7, 5, 2]",,,88,EURUSD_D1_2010to101124,10,20,sqrt,20,120,8,1,2,0.6,0.5531914893617021,0.36,0.7777777777777778,1.0,1.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_444,,55.56,,0.49044585987261147,0.3333333333333333,"[83, 49, 14, 9, 2]","[46, 23, 8, 1, 2]","[37, 26, 6, 8, 0]",True,0.0,157,EURUSD_D1_2010to101124,20,10,sqrt,10,250,42,2,4,0.6,0.4457831325301205,0.5306122448979592,0.42857142857142855,0.8888888888888888,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_656,,52.38,,0.573170731707317,0.3333333333333333,"[39, 26, 10, 7, 0]","[19, 10, 5, 1, 0]","[20, 16, 5, 6, 0]",True,0.0,82,EURUSD_D1_2010to101124,20,10,log2,30,250,26,2,4,0.55,0.5128205128205128,0.6153846153846154,0.5,0.8571428571428571,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_426,,50.0,66.67,0.5434782608695652,0.3333333333333333,"[53, 21, 11, 6, 1]","[23, 13, 5, 1, 0]","[30, 8, 6, 5, 1]",,,92,EURUSD_D1_2010to101124,15,15,sqrt,20,120,42,1,2,0.6,0.5660377358490566,0.38095238095238093,0.5454545454545454,0.8333333333333334,1.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_534,,46.67,,0.4732142857142857,0.3333333333333333,"[58, 41, 7, 5, 1]","[33, 21, 3, 1, 1]","[25, 20, 4, 4, 0]",True,0.0,112,EURUSD_D1_2010to101124,10,5,sqrt,25,120,42,2,4,0.56,0.43103448275862066,0.4878048780487805,0.5714285714285714,0.8,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_76,,45.71,,0.6242424242424243,0.4,"[85, 39, 27, 14, 0]","[41, 13, 6, 2, 0]","[44, 26, 21, 12, 0]",True,0.0,165,EURUSD_D1_2010to101124,20,20,log2,30,250,0,2,1,0.56,0.5176470588235295,0.6666666666666666,0.7777777777777778,0.8571428571428571,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_674,,45.24,33.33,0.53125,0.3333333333333333,"[81, 75, 19, 14, 3]","[41, 36, 9, 3, 1]","[40, 39, 10, 11, 2]",,,192,EURUSD_D1_2010to101124,15,1,log2,25,120,0,2,4,0.56,0.49382716049382713,0.52,0.5263157894736842,0.7857142857142857,0.6666666666666666
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_776,,44.44,,0.4881889763779528,0.3333333333333333,"[61, 40, 16, 9, 1]","[32, 23, 7, 2, 1]","[29, 17, 9, 7, 0]",True,0.0,127,EURUSD_D1_2010to101124,6,5,log2,10,250,0,2,4,0.6,0.47540983606557374,0.425,0.5625,0.7777777777777778,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_619,,44.44,,0.5943396226415094,0.3333333333333333,"[51, 35, 11, 9, 0]","[25, 11, 5, 2, 0]","[26, 24, 6, 7, 0]",True,0.0,106,EURUSD_D1_2010to101124,5,1,sqrt,25,120,0,2,4,0.6,0.5098039215686274,0.6857142857142857,0.5454545454545454,0.7777777777777778,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_704,,44.44,,0.4661016949152542,0.3333333333333333,"[58, 37, 14, 9, 0]","[36, 18, 7, 2, 0]","[22, 19, 7, 7, 0]",True,0.0,118,EURUSD_D1_2010to101124,15,10,log2,20,250,26,2,4,0.55,0.3793103448275862,0.5135135135135135,0.5,0.7777777777777778,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_434,,43.33,,0.6346153846153846,0.4,"[49, 20, 22, 12, 1]","[20, 10, 5, 2, 1]","[29, 10, 17, 10, 0]",True,0.0,104,EURUSD_D1_2010to101124,15,20,sqrt,30,150,26,2,1,0.6,0.5918367346938775,0.5,0.7727272727272727,0.8333333333333334,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_495,,43.33,,0.7096774193548387,0.4,"[36, 24, 21, 12, 0]","[11, 9, 5, 2, 0]","[25, 15, 16, 10, 0]",True,0.0,93,EURUSD_D1_2010to101124,20,20,log2,30,150,0,2,3,0.6,0.6944444444444444,0.625,0.7619047619047619,0.8333333333333334,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_89,,41.67,,0.45121951219512196,0.3333333333333333,"[45, 22, 11, 4, 0]","[28, 13, 3, 1, 0]","[17, 9, 8, 3, 0]",True,0.0,82,EURUSD_D1_2010to101124,1,15,log2,25,250,0,2,4,0.56,0.37777777777777777,0.4090909090909091,0.7272727272727273,0.75,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_472,,41.67,,0.5487804878048781,0.25,"[41, 23, 14, 3, 1]","[22, 11, 2, 1, 1]","[19, 12, 12, 2, 0]",True,0.0,82,EURUSD_D1_2010to101124,1,6,log2,30,120,8,1,3,0.5,0.4634146341463415,0.5217391304347826,0.8571428571428571,0.6666666666666666,0.0
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_79,,41.67,,0.4838709677419355,0.3333333333333333,"[56, 20, 12, 4, 1]","[33, 10, 3, 1, 1]","[23, 10, 9, 3, 0]",True,0.0,93,EURUSD_D1_2010to101124,6,20,log2,25,150,8,1,2,0.6,0.4107142857142857,0.5,0.75,0.75,0.0
