run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_22f559a6-02d0-43f1-8795-d42599179d43_463,,19.0,,0.41346153846153844,0.25,"[20, 29, 20, 25, 10]","[10, 17, 12, 14, 8]","[10, 12, 8, 11, 2]",True,0.2,104,EURUSD_D1_2010to101124,1,20,log2,20,120,8,1,3,0.6,0.5,0.41379310344827586,0.4,0.44,0.2
HD_22f559a6-02d0-43f1-8795-d42599179d43_192,,17.86,,0.4224137931034483,0.25,"[21, 35, 26, 21, 13]","[13, 20, 12, 12, 10]","[8, 15, 14, 9, 3]",True,0.23076923076923078,116,EURUSD_D1_2010to101124,1,6,log2,25,250,26,1,3,0.55,0.38095238095238093,0.42857142857142855,0.5384615384615384,0.42857142857142855,0.23076923076923078
HD_22f559a6-02d0-43f1-8795-d42599179d43_199,,16.67,,0.5895953757225434,0.3333333333333333,"[29, 40, 51, 42, 11]","[7, 10, 24, 21, 9]","[22, 30, 27, 21, 2]",True,0.18181818181818182,173,EURUSD_D1_2010to101124,20,20,sqrt,30,120,42,1,2,0.6,0.7586206896551724,0.75,0.5294117647058824,0.5,0.18181818181818182
HD_22f559a6-02d0-43f1-8795-d42599179d43_344,,15.46,,0.6676406135865596,0.5,"[451, 363, 282, 194, 79]","[129, 123, 94, 67, 42]","[322, 240, 188, 127, 37]",True,0.46835443037974683,1369,EURUSD_D1_2010to101124,1,1,sqrt,25,200,8,1,1,0.6,0.7139689578713969,0.6611570247933884,0.6666666666666666,0.654639175257732,0.46835443037974683
HD_22f559a6-02d0-43f1-8795-d42599179d43_721,,15.0,8.33,0.4225352112676056,0.25,"[30, 40, 36, 30, 6]","[14, 26, 20, 18, 4]","[16, 14, 16, 12, 2]",,,142,EURUSD_D1_2010to101124,6,15,sqrt,25,50,0,1,3,0.56,0.5333333333333333,0.35,0.4444444444444444,0.4,0.3333333333333333
HD_22f559a6-02d0-43f1-8795-d42599179d43_156,,15.0,,0.41379310344827586,0.25,"[26, 33, 22, 25, 10]","[12, 19, 13, 15, 9]","[14, 14, 9, 10, 1]",True,0.1,116,EURUSD_D1_2010to101124,1,5,log2,25,150,26,1,3,0.55,0.5384615384615384,0.42424242424242425,0.4090909090909091,0.4,0.1
HD_22f559a6-02d0-43f1-8795-d42599179d43_100,,14.29,0.72,0.6569678407350689,0.5,"[447, 358, 264, 168, 69]","[139, 123, 92, 60, 34]","[308, 235, 172, 108, 35]",,,1306,EURUSD_D1_2010to101124,6,20,sqrt,20,250,26,1,1,0.6,0.6890380313199105,0.6564245810055865,0.6515151515151515,0.6428571428571429,0.5072463768115942
HD_22f559a6-02d0-43f1-8795-d42599179d43_788,,14.07,0.77,0.6762956669498725,0.5,"[373, 318, 254, 167, 65]","[105, 99, 85, 60, 32]","[268, 219, 169, 107, 33]",,,1177,EURUSD_D1_2010to101124,20,20,log2,30,150,0,1,1,0.6,0.7184986595174263,0.6886792452830188,0.6653543307086615,0.6407185628742516,0.5076923076923077
HD_22f559a6-02d0-43f1-8795-d42599179d43_614,,13.73,,0.5686274509803921,0.3333333333333333,"[40, 53, 48, 51, 12]","[14, 18, 19, 27, 10]","[26, 35, 29, 24, 2]",True,0.16666666666666666,204,EURUSD_D1_2010to101124,20,15,sqrt,30,150,42,1,2,0.6,0.65,0.660377358490566,0.6041666666666666,0.47058823529411764,0.16666666666666666
HD_22f559a6-02d0-43f1-8795-d42599179d43_264,,13.64,,0.6431046431046431,0.5,"[507, 394, 274, 187, 81]","[170, 139, 97, 68, 41]","[337, 255, 177, 119, 40]",True,0.49382716049382713,1443,EURUSD_D1_2010to101124,1,20,log2,20,120,0,1,1,0.6,0.6646942800788954,0.6472081218274112,0.6459854014598541,0.6363636363636364,0.49382716049382713
HD_22f559a6-02d0-43f1-8795-d42599179d43_300,,13.64,1.39,0.6462480857580398,0.5,"[454, 354, 261, 165, 72]","[150, 126, 91, 60, 35]","[304, 228, 170, 105, 37]",,,1306,EURUSD_D1_2010to101124,6,20,sqrt,25,50,26,1,1,0.6,0.6696035242290749,0.6440677966101694,0.6513409961685823,0.6363636363636364,0.5138888888888888
HD_22f559a6-02d0-43f1-8795-d42599179d43_648,,12.5,2.27,0.4236111111111111,0.25,"[33, 37, 31, 32, 11]","[16, 22, 17, 20, 8]","[17, 15, 14, 12, 3]",,,144,EURUSD_D1_2010to101124,5,20,sqrt,25,250,0,1,3,0.55,0.5151515151515151,0.40540540540540543,0.45161290322580644,0.375,0.2727272727272727
HD_22f559a6-02d0-43f1-8795-d42599179d43_332,,12.43,,0.5325077399380805,0.3333333333333333,"[87, 76, 81, 59, 20]","[29, 37, 38, 32, 15]","[58, 39, 43, 27, 5]",True,0.25,323,EURUSD_D1_2010to101124,5,15,sqrt,20,200,42,1,2,0.56,0.6666666666666666,0.5131578947368421,0.5308641975308642,0.4576271186440678,0.25
HD_22f559a6-02d0-43f1-8795-d42599179d43_382,,12.03,,0.6661710037174721,0.5,"[437, 367, 272, 187, 82]","[127, 125, 84, 71, 42]","[310, 242, 188, 116, 40]",True,0.4878048780487805,1345,EURUSD_D1_2010to101124,6,10,sqrt,25,200,42,1,1,0.6,0.7093821510297483,0.659400544959128,0.6911764705882353,0.6203208556149733,0.4878048780487805
HD_22f559a6-02d0-43f1-8795-d42599179d43_655,,11.75,1.43,0.6715953307392996,0.5,"[444, 338, 250, 183, 70]","[124, 111, 83, 70, 34]","[320, 227, 167, 113, 36]",,,1285,EURUSD_D1_2010to101124,15,20,log2,20,250,42,1,1,0.6,0.7207207207207207,0.6715976331360947,0.668,0.6174863387978142,0.5142857142857142
HD_22f559a6-02d0-43f1-8795-d42599179d43_481,,11.33,,0.4483695652173913,0.3333333333333333,"[246, 188, 160, 103, 39]","[132, 98, 89, 57, 30]","[114, 90, 71, 46, 9]",True,0.23076923076923078,736,EURUSD_D1_2010to101124,1,15,log2,20,150,0,1,2,0.5,0.4634146341463415,0.4787234042553192,0.44375,0.44660194174757284,0.23076923076923078
HD_22f559a6-02d0-43f1-8795-d42599179d43_631,,11.08,1.47,0.6491092176607282,0.5,"[429, 372, 255, 167, 68]","[136, 129, 90, 65, 33]","[293, 243, 165, 102, 35]",,,1291,EURUSD_D1_2010to101124,5,15,sqrt,20,50,0,1,1,0.6,0.682983682983683,0.6532258064516129,0.6470588235294118,0.6107784431137725,0.5147058823529411
HD_22f559a6-02d0-43f1-8795-d42599179d43_639,,10.94,0.0,0.6451428571428571,0.5,"[562, 465, 369, 256, 98]","[178, 160, 134, 100, 49]","[384, 305, 235, 156, 49]",,,1750,EURUSD_D1_2010to101124,15,15,sqrt,30,120,42,1,1,0.56,0.6832740213523132,0.6559139784946236,0.6368563685636857,0.609375,0.5
HD_22f559a6-02d0-43f1-8795-d42599179d43_617,,10.8,,0.6060433295324972,0.5,"[623, 471, 347, 199, 114]","[229, 188, 136, 78, 60]","[394, 283, 211, 121, 54]",True,0.47368421052631576,1754,EURUSD_D1_2010to101124,1,20,log2,30,150,26,1,1,0.56,0.6324237560192616,0.6008492569002123,0.6080691642651297,0.6080402010050251,0.47368421052631576
HD_22f559a6-02d0-43f1-8795-d42599179d43_275,,10.78,11.11,0.4909090909090909,0.3333333333333333,"[68, 49, 51, 34, 18]","[30, 28, 25, 19, 10]","[38, 21, 26, 15, 8]",,,220,EURUSD_D1_2010to101124,1,10,log2,30,100,0,1,2,0.6,0.5588235294117647,0.42857142857142855,0.5098039215686274,0.4411764705882353,0.4444444444444444
HD_22f559a6-02d0-43f1-8795-d42599179d43_355,,10.7,,0.6161167512690355,0.5,"[518, 417, 305, 229, 107]","[180, 163, 113, 90, 59]","[338, 254, 192, 139, 48]",True,0.4485981308411215,1576,EURUSD_D1_2010to101124,15,20,log2,10,50,0,1,1,0.6,0.6525096525096525,0.6091127098321343,0.6295081967213115,0.6069868995633187,0.4485981308411215
HD_22f559a6-02d0-43f1-8795-d42599179d43_741,,10.48,0.0,0.6382369776760161,0.5,"[551, 465, 381, 248, 102]","[173, 163, 147, 98, 51]","[378, 302, 234, 150, 51]",,,1747,EURUSD_D1_2010to101124,15,15,sqrt,30,150,0,1,1,0.55,0.6860254083484574,0.6494623655913978,0.6141732283464567,0.6048387096774194,0.5
