run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_576c925a-dbae-41a9-9e73-9db367e6c963_734,"[4.0, 4.0, 4.0, 4.0, 4.0]",46.67,13.33,0.37254901960784315,0.2,"[11, 19, 15, 3, 3]","[7, 11, 11, 1, 2]","[4, 8, 4, 2, 1]",,,51,GBPUSD_D1_2010to101124,6,20,sqrt,20,120,42,1,4,0.5,0.36363636363636365,0.42105263157894735,0.26666666666666666,0.6666666666666666,0.3333333333333333
HD_576c925a-dbae-41a9-9e73-9db367e6c963_628,"[4.0, 4.0, 4.0, 4.0, 4.0]",38.1,,0.47333333333333333,0.3333333333333333,"[46, 43, 48, 7, 6]","[19, 24, 29, 2, 5]","[27, 19, 19, 5, 1]",True,0.16666666666666666,150,GBPUSD_D1_2010to101124,5,20,log2,20,150,42,2,4,0.6,0.5869565217391305,0.4418604651162791,0.3958333333333333,0.7142857142857143,0.16666666666666666
HD_576c925a-dbae-41a9-9e73-9db367e6c963_341,"[4.0, 4.0, 4.0, 4.0, 4.0]",35.9,,0.5,0.3333333333333333,"[68, 71, 56, 13, 8]","[31, 34, 33, 4, 6]","[37, 37, 23, 9, 2]",True,0.25,216,GBPUSD_D1_2010to101124,15,10,sqrt,30,150,0,2,4,0.56,0.5441176470588235,0.5211267605633803,0.4107142857142857,0.6923076923076923,0.25
HD_576c925a-dbae-41a9-9e73-9db367e6c963_588,"[4.0, 4.0, 4.0, 4.0, 4.0]",33.33,6.67,0.5208333333333334,0.3333333333333333,"[53, 71, 51, 12, 5]","[20, 35, 30, 4, 3]","[33, 36, 21, 8, 2]",,,192,GBPUSD_D1_2010to101124,15,15,log2,25,250,8,2,4,0.56,0.6226415094339622,0.5070422535211268,0.4117647058823529,0.6666666666666666,0.4
HD_576c925a-dbae-41a9-9e73-9db367e6c963_736,"[4.0, 4.0, 4.0, 4.0, 4.0]",30.95,9.52,0.5411764705882353,0.3333333333333333,"[44, 59, 46, 14, 7]","[16, 23, 30, 5, 4]","[28, 36, 16, 9, 3]",,,170,GBPUSD_D1_2010to101124,15,15,log2,30,250,8,2,4,0.55,0.6363636363636364,0.6101694915254238,0.34782608695652173,0.6428571428571429,0.42857142857142855
HD_576c925a-dbae-41a9-9e73-9db367e6c963_25,"[3.0, 3.0, 3.0, 3.0, 3.0]",30.37,,0.5950413223140496,0.4,"[143, 109, 65, 27, 19]","[50, 45, 27, 8, 17]","[93, 64, 38, 19, 2]",True,0.10526315789473684,363,GBPUSD_D1_2010to101124,1,10,sqrt,30,120,8,2,1,0.6,0.6503496503496503,0.5871559633027523,0.5846153846153846,0.7037037037037037,0.10526315789473684
HD_576c925a-dbae-41a9-9e73-9db367e6c963_315,"[4.0, 4.0, 4.0, 4.0, 4.0]",30.0,,0.325,0.2,"[16, 10, 11, 2, 1]","[10, 8, 7, 1, 1]","[6, 2, 4, 1, 0]",True,0.0,40,GBPUSD_D1_2010to101124,1,10,log2,15,50,8,1,4,0.56,0.375,0.2,0.36363636363636365,0.5,0.0
HD_576c925a-dbae-41a9-9e73-9db367e6c963_493,"[4.0, 4.0, 4.0, 4.0, 4.0]",30.0,5.0,0.32142857142857145,0.2,"[22, 12, 16, 2, 4]","[14, 8, 12, 1, 3]","[8, 4, 4, 1, 1]",,,56,GBPUSD_D1_2010to101124,1,6,sqrt,25,150,8,1,4,0.5,0.36363636363636365,0.3333333333333333,0.25,0.5,0.25
HD_576c925a-dbae-41a9-9e73-9db367e6c963_339,"[4.0, 4.0, 4.0, 4.0, 4.0]",30.0,,0.30927835051546393,0.2,"[41, 33, 13, 4, 6]","[30, 23, 6, 2, 6]","[11, 10, 7, 2, 0]",True,0.0,97,GBPUSD_D1_2010to101124,10,5,log2,20,100,42,1,4,0.55,0.2682926829268293,0.30303030303030304,0.5384615384615384,0.5,0.0
HD_576c925a-dbae-41a9-9e73-9db367e6c963_160,"[4.0, 4.0, 4.0, 4.0, 4.0]",30.0,30.0,0.32,0.2,"[5, 8, 8, 2, 2]","[4, 6, 5, 1, 1]","[1, 2, 3, 1, 1]",,,25,GBPUSD_D1_2010to101124,1,5,log2,20,250,26,1,4,0.55,0.2,0.25,0.375,0.5,0.5
