run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_ad895514-2477-44a0-a558-813316025b39_27,,28.93,10.0,0.5861244019138756,0.3333333333333333,"[129, 121, 85, 53, 30]","[58, 46, 32, 20, 17]","[71, 75, 53, 33, 13]",,,418,USDCAD_D1_2010to101124,10,15,log2,25,150,0,1,2,0.56,0.5503875968992248,0.6198347107438017,0.6235294117647059,0.6226415094339622,0.43333333333333335
HD_ad895514-2477-44a0-a558-813316025b39_424,,28.43,13.73,0.5705645161290323,0.3333333333333333,"[152, 134, 108, 68, 34]","[67, 60, 42, 26, 18]","[85, 74, 66, 42, 16]",,,496,USDCAD_D1_2010to101124,10,15,log2,20,250,0,1,2,0.56,0.5592105263157895,0.5522388059701493,0.6111111111111112,0.6176470588235294,0.47058823529411764
HD_ad895514-2477-44a0-a558-813316025b39_603,,26.67,,0.390625,0.2,"[10, 10, 16, 15, 13]","[6, 6, 8, 8, 11]","[4, 4, 8, 7, 2]",True,0.15384615384615385,64,USDCAD_D1_2010to101124,6,10,sqrt,20,200,0,1,4,0.6,0.4,0.4,0.5,0.4666666666666667,0.15384615384615385
HD_ad895514-2477-44a0-a558-813316025b39_529,,26.15,,0.375,0.2,"[9, 9, 14, 13, 11]","[6, 5, 8, 7, 9]","[3, 4, 6, 6, 2]",True,0.18181818181818182,56,USDCAD_D1_2010to101124,6,10,sqrt,20,100,0,1,4,0.6,0.3333333333333333,0.4444444444444444,0.42857142857142855,0.46153846153846156,0.18181818181818182
HD_ad895514-2477-44a0-a558-813316025b39_641,,26.13,14.67,0.6139240506329114,0.3333333333333333,"[97, 94, 63, 37, 25]","[37, 38, 19, 15, 13]","[60, 56, 44, 22, 12]",,,316,USDCAD_D1_2010to101124,15,15,log2,20,150,0,1,2,0.6,0.6185567010309279,0.5957446808510638,0.6984126984126984,0.5945945945945946,0.48
HD_ad895514-2477-44a0-a558-813316025b39_664,,25.64,12.82,0.60625,0.3333333333333333,"[96, 92, 67, 39, 26]","[37, 37, 22, 16, 14]","[59, 55, 45, 23, 12]",,,320,USDCAD_D1_2010to101124,1,1,sqrt,20,150,0,1,2,0.6,0.6145833333333334,0.5978260869565217,0.6716417910447762,0.5897435897435898,0.46153846153846156
HD_ad895514-2477-44a0-a558-813316025b39_411,,23.0,20.51,0.5591572123176661,0.3333333333333333,"[197, 189, 121, 71, 39]","[82, 84, 57, 31, 18]","[115, 105, 64, 40, 21]",,,617,USDCAD_D1_2010to101124,1,15,log2,20,250,26,1,2,0.6,0.583756345177665,0.5555555555555556,0.5289256198347108,0.5633802816901409,0.5384615384615384
HD_ad895514-2477-44a0-a558-813316025b39_674,,22.38,17.69,0.5519031141868512,0.3333333333333333,"[167, 172, 120, 70, 49]","[67, 84, 53, 31, 24]","[100, 88, 67, 39, 25]",,,578,USDCAD_D1_2010to101124,6,20,log2,20,200,42,1,2,0.56,0.5988023952095808,0.5116279069767442,0.5583333333333333,0.5571428571428572,0.5102040816326531
HD_ad895514-2477-44a0-a558-813316025b39_259,,22.27,20.78,0.6513035381750466,0.5,"[756, 621, 379, 238, 154]","[273, 250, 115, 66, 45]","[483, 371, 264, 172, 109]",,,2148,USDCAD_D1_2010to101124,6,10,log2,10,200,42,2,2,0.6,0.6388888888888888,0.5974235104669887,0.6965699208443272,0.7226890756302521,0.7077922077922078
HD_ad895514-2477-44a0-a558-813316025b39_58,,22.11,,0.37362637362637363,0.2,"[17, 22, 18, 19, 15]","[12, 11, 10, 11, 13]","[5, 11, 8, 8, 2]",True,0.13333333333333333,91,USDCAD_D1_2010to101124,5,6,sqrt,20,100,42,1,4,0.56,0.29411764705882354,0.5,0.4444444444444444,0.42105263157894735,0.13333333333333333
HD_ad895514-2477-44a0-a558-813316025b39_271,,22.11,,0.3409090909090909,0.2,"[15, 21, 17, 19, 16]","[8, 13, 12, 11, 14]","[7, 8, 5, 8, 2]",True,0.125,88,USDCAD_D1_2010to101124,5,6,sqrt,15,120,42,1,4,0.6,0.4666666666666667,0.38095238095238093,0.29411764705882354,0.42105263157894735,0.125
HD_ad895514-2477-44a0-a558-813316025b39_100,,22.09,1.55,0.569023569023569,0.3333333333333333,"[188, 159, 121, 83, 43]","[76, 71, 44, 37, 28]","[112, 88, 77, 46, 15]",,,594,USDCAD_D1_2010to101124,20,15,sqrt,15,250,8,1,2,0.55,0.5957446808510638,0.5534591194968553,0.6363636363636364,0.5542168674698795,0.3488372093023256
HD_ad895514-2477-44a0-a558-813316025b39_64,,22.06,32.14,0.48863636363636365,0.25,"[20, 24, 20, 17, 7]","[12, 15, 6, 9, 3]","[8, 9, 14, 8, 4]",,,88,USDCAD_D1_2010to101124,5,10,log2,20,100,26,1,3,0.6,0.4,0.375,0.7,0.47058823529411764,0.5714285714285714
HD_ad895514-2477-44a0-a558-813316025b39_357,,21.84,15.6,0.5288326300984529,0.3333333333333333,"[229, 205, 143, 87, 47]","[107, 101, 64, 39, 24]","[122, 104, 79, 48, 23]",,,711,USDCAD_D1_2010to101124,6,10,log2,10,50,8,1,2,0.56,0.5327510917030568,0.5073170731707317,0.5524475524475524,0.5517241379310345,0.48936170212765956
HD_ad895514-2477-44a0-a558-813316025b39_667,,21.68,25.74,0.654045643153527,0.5,"[651, 552, 363, 226, 136]","[236, 210, 124, 64, 33]","[415, 342, 239, 162, 103]",,,1928,USDCAD_D1_2010to101124,6,20,sqrt,20,120,26,2,2,0.6,0.6374807987711214,0.6195652173913043,0.6584022038567493,0.7168141592920354,0.7573529411764706
HD_ad895514-2477-44a0-a558-813316025b39_355,,21.67,15.0,0.35294117647058826,0.25,"[52, 82, 59, 30, 15]","[36, 56, 37, 16, 9]","[16, 26, 22, 14, 6]",,,238,USDCAD_D1_2010to101124,1,6,log2,15,150,8,1,3,0.56,0.3076923076923077,0.3170731707317073,0.3728813559322034,0.4666666666666667,0.4
HD_ad895514-2477-44a0-a558-813316025b39_20,,21.54,19.5,0.556786703601108,0.3333333333333333,"[241, 208, 138, 82, 53]","[98, 98, 62, 37, 25]","[143, 110, 76, 45, 28]",,,722,USDCAD_D1_2010to101124,1,10,log2,15,250,26,1,2,0.56,0.5933609958506224,0.5288461538461539,0.5507246376811594,0.5487804878048781,0.5283018867924528
HD_ad895514-2477-44a0-a558-813316025b39_188,,21.36,8.73,0.6941561987984708,0.5,"[607, 514, 364, 220, 126]","[166, 169, 110, 63, 52]","[441, 345, 254, 157, 74]",,,1831,USDCAD_D1_2010to101124,1,6,sqrt,30,250,8,1,1,0.6,0.7265238879736409,0.6712062256809338,0.6978021978021978,0.7136363636363636,0.5873015873015873
HD_ad895514-2477-44a0-a558-813316025b39_622,,20.59,14.36,0.5483870967741935,0.3333333333333333,"[254, 239, 177, 102, 65]","[107, 115, 75, 47, 34]","[147, 124, 102, 55, 31]",,,837,USDCAD_D1_2010to101124,1,10,sqrt,25,150,0,1,2,0.55,0.5787401574803149,0.5188284518828452,0.576271186440678,0.5392156862745098,0.47692307692307695
HD_ad895514-2477-44a0-a558-813316025b39_419,,20.43,24.91,0.5205479452054794,0.4,"[475, 402, 241, 139, 57]","[250, 203, 102, 55, 20]","[225, 199, 139, 84, 37]",,,1314,USDCAD_D1_2010to101124,6,20,sqrt,15,200,0,2,1,0.56,0.47368421052631576,0.49502487562189057,0.5767634854771784,0.60431654676259,0.6491228070175439
HD_ad895514-2477-44a0-a558-813316025b39_134,,20.21,20.0,0.549163179916318,0.3333333333333333,"[299, 250, 205, 127, 75]","[122, 120, 95, 59, 35]","[177, 130, 110, 68, 40]",,,956,USDCAD_D1_2010to101124,1,5,log2,30,100,42,1,2,0.5,0.5919732441471572,0.52,0.5365853658536586,0.5354330708661418,0.5333333333333333
HD_ad895514-2477-44a0-a558-813316025b39_672,,20.17,18.48,0.6375478927203065,0.5,"[898, 749, 484, 295, 184]","[334, 307, 159, 88, 58]","[564, 442, 325, 207, 126]",,,2610,USDCAD_D1_2010to101124,10,15,sqrt,10,250,26,2,2,0.56,0.6280623608017817,0.5901201602136181,0.6714876033057852,0.7016949152542373,0.6847826086956522
HD_ad895514-2477-44a0-a558-813316025b39_487,,20.07,17.84,0.6308858739026337,0.5,"[878, 721, 462, 274, 171]","[335, 292, 161, 82, 55]","[543, 429, 301, 192, 116]",,,2506,USDCAD_D1_2010to101124,1,10,log2,25,50,8,2,2,0.56,0.6184510250569476,0.59500693481276,0.6515151515151515,0.7007299270072993,0.6783625730994152
HD_ad895514-2477-44a0-a558-813316025b39_777,,20.0,10.78,0.5786407766990291,0.3333333333333333,"[163, 142, 116, 60, 34]","[67, 58, 45, 28, 19]","[96, 84, 71, 32, 15]",,,515,USDCAD_D1_2010to101124,1,5,log2,10,120,26,1,2,0.6,0.588957055214724,0.5915492957746479,0.6120689655172413,0.5333333333333333,0.4411764705882353
HD_ad895514-2477-44a0-a558-813316025b39_187,,20.0,19.7,0.5490830636461704,0.3333333333333333,"[279, 269, 193, 120, 66]","[118, 129, 84, 56, 31]","[161, 140, 109, 64, 35]",,,927,USDCAD_D1_2010to101124,10,20,sqrt,20,250,42,1,2,0.5,0.5770609318996416,0.5204460966542751,0.5647668393782384,0.5333333333333333,0.5303030303030303
