run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_748,"[4.0, 4.0, 4.0, 4.0, 4.0]",80.0,80.0,0.5384615384615384,0.2,"[4, 4, 3, 1, 1]","[1, 3, 2, 0, 0]","[3, 1, 1, 1, 1]",,,13,USDCAD_D1_2010to101124,6,10,log2,20,200,42,1,4,0.5,0.75,0.25,0.3333333333333333,1.0,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_317,"[3.0, 3.0, 3.0, 3.0, 3.0]",75.0,75.0,0.6666666666666666,0.25,"[4, 2, 4, 1, 1]","[1, 0, 3, 0, 0]","[3, 2, 1, 1, 1]",,,12,USDCAD_D1_2010to101124,5,15,log2,30,150,8,1,3,0.55,0.75,1.0,0.25,1.0,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_692,"[3.0, 3.0, 3.0, 3.0, 3.0]",75.0,75.0,0.6,0.25,"[8, 4, 5, 2, 1]","[4, 1, 3, 0, 0]","[4, 3, 2, 2, 1]",,,20,USDCAD_D1_2010to101124,1,5,log2,30,250,8,1,3,0.55,0.5,0.75,0.4,1.0,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_563,"[4.0, 4.0, 4.0, 4.0, 4.0]",60.0,80.0,0.5111111111111111,0.2,"[19, 12, 6, 5, 3]","[13, 5, 3, 1, 0]","[6, 7, 3, 4, 3]",,,45,USDCAD_D1_2010to101124,1,20,log2,20,50,26,1,4,0.55,0.3157894736842105,0.5833333333333334,0.5,0.8,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_177,"[3.0, 3.0, 3.0, 3.0, 3.0]",50.0,75.0,0.5238095238095238,0.25,"[7, 6, 3, 4, 1]","[4, 3, 2, 1, 0]","[3, 3, 1, 3, 1]",,,21,USDCAD_D1_2010to101124,1,1,log2,30,250,26,1,3,0.55,0.42857142857142855,0.5,0.3333333333333333,0.75,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_676,"[2.0, 2.0, 2.0, 2.0, 2.0]",46.67,33.33,0.5862068965517241,0.3333333333333333,"[28, 9, 8, 10, 3]","[11, 5, 5, 2, 1]","[17, 4, 3, 8, 2]",,,58,USDCAD_D1_2010to101124,10,15,log2,30,200,0,1,2,0.56,0.6071428571428571,0.4444444444444444,0.375,0.8,0.6666666666666666
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_556,"[4.0, 4.0, 4.0, 4.0, 4.0]",46.67,13.33,0.4666666666666667,0.2,"[3, 1, 5, 3, 3]","[2, 0, 3, 1, 2]","[1, 1, 2, 2, 1]",,,15,USDCAD_D1_2010to101124,1,5,sqrt,15,50,8,1,4,0.55,0.3333333333333333,1.0,0.4,0.6666666666666666,0.3333333333333333
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_487,"[2.0, 2.0, 2.0, 2.0, 2.0]",46.67,,0.42857142857142855,0.3333333333333333,"[39, 18, 14, 5, 1]","[23, 12, 7, 1, 1]","[16, 6, 7, 4, 0]",True,0.0,77,USDCAD_D1_2010to101124,20,10,sqrt,30,250,8,1,2,0.6,0.41025641025641024,0.3333333333333333,0.5,0.8,0.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_671,"[3.0, 3.0, 3.0, 3.0, 3.0]",46.43,75.0,0.5625,0.25,"[9, 5, 10, 7, 1]","[5, 1, 6, 2, 0]","[4, 4, 4, 5, 1]",,,32,USDCAD_D1_2010to101124,1,5,sqrt,30,100,8,1,3,0.56,0.4444444444444444,0.8,0.4,0.7142857142857143,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_654,"[2.0, 2.0, 2.0, 2.0, 2.0]",41.67,66.67,0.7567567567567568,0.3333333333333333,"[19, 8, 4, 4, 2]","[5, 2, 1, 1, 0]","[14, 6, 3, 3, 2]",,,37,USDCAD_D1_2010to101124,10,20,log2,25,200,42,1,2,0.6,0.7368421052631579,0.75,0.75,0.75,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_648,"[3.0, 3.0, 3.0, 3.0, 3.0]",35.0,25.0,0.5217391304347826,0.25,"[9, 4, 3, 5, 2]","[4, 2, 2, 2, 1]","[5, 2, 1, 3, 1]",,,23,USDCAD_D1_2010to101124,15,20,log2,30,50,0,1,3,0.56,0.5555555555555556,0.5,0.3333333333333333,0.6,0.5
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_689,"[2.0, 2.0, 2.0, 2.0, 2.0]",33.33,,0.48,0.3333333333333333,"[26, 13, 4, 6, 1]","[14, 8, 1, 2, 1]","[12, 5, 3, 4, 0]",True,0.0,50,USDCAD_D1_2010to101124,15,10,log2,30,120,26,1,2,0.6,0.46153846153846156,0.38461538461538464,0.75,0.6666666666666666,0.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_57,"[3.0, 3.0, 3.0, 3.0, 3.0]",32.14,25.0,0.5660377358490566,0.25,"[15, 18, 11, 7, 2]","[5, 7, 7, 3, 1]","[10, 11, 4, 4, 1]",,,53,USDCAD_D1_2010to101124,1,6,log2,20,100,8,1,3,0.56,0.6666666666666666,0.6111111111111112,0.36363636363636365,0.5714285714285714,0.5
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_760,"[3.0, 3.0, 3.0, 3.0, 3.0]",32.14,41.67,0.5,0.25,"[9, 5, 8, 7, 3]","[6, 2, 4, 3, 1]","[3, 3, 4, 4, 2]",,,32,USDCAD_D1_2010to101124,5,20,sqrt,30,250,0,1,3,0.55,0.3333333333333333,0.6,0.5,0.5714285714285714,0.6666666666666666
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_134,"[3.0, 3.0, 3.0, 3.0, 3.0]",30.97,23.64,0.6381578947368421,0.4,"[58, 24, 28, 31, 11]","[24, 7, 11, 9, 4]","[34, 17, 17, 22, 7]",,,152,USDCAD_D1_2010to101124,5,15,log2,15,150,26,2,1,0.6,0.5862068965517241,0.7083333333333334,0.6071428571428571,0.7096774193548387,0.6363636363636364
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_232,"[3.0, 3.0, 3.0, 3.0, 3.0]",30.56,,0.3865546218487395,0.25,"[46, 50, 7, 9, 7]","[30, 29, 3, 4, 7]","[16, 21, 4, 5, 0]",True,0.0,119,USDCAD_D1_2010to101124,5,1,log2,30,150,0,1,3,0.55,0.34782608695652173,0.42,0.5714285714285714,0.5555555555555556,0.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_340,"[2.0, 2.0, 2.0, 2.0, 2.0]",30.3,26.67,0.5652173913043478,0.3333333333333333,"[42, 18, 16, 11, 5]","[16, 10, 8, 4, 2]","[26, 8, 8, 7, 3]",,,92,USDCAD_D1_2010to101124,10,15,sqrt,30,250,26,1,2,0.55,0.6190476190476191,0.4444444444444444,0.5,0.6363636363636364,0.6
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_24,"[4.0, 4.0, 4.0, 4.0, 4.0]",30.0,,0.45454545454545453,0.2,"[2, 2, 5, 2, 0]","[1, 1, 3, 1, 0]","[1, 1, 2, 1, 0]",True,0.0,11,USDCAD_D1_2010to101124,6,5,sqrt,15,50,26,1,4,0.6,0.5,0.5,0.4,0.5,0.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_302,"[2.0, 2.0, 2.0, 2.0, 2.0]",28.21,33.33,0.515625,0.3333333333333333,"[57, 32, 23, 13, 3]","[29, 18, 9, 5, 1]","[28, 14, 14, 8, 2]",,,128,USDCAD_D1_2010to101124,5,6,log2,25,100,42,1,2,0.55,0.49122807017543857,0.4375,0.6086956521739131,0.6153846153846154,0.6666666666666666
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_168,"[3.0, 3.0, 3.0, 3.0, 3.0]",27.65,37.78,0.6410256410256411,0.4,"[81, 34, 37, 34, 9]","[33, 11, 13, 11, 2]","[48, 23, 24, 23, 7]",,,195,USDCAD_D1_2010to101124,1,6,sqrt,15,250,0,2,3,0.6,0.5925925925925926,0.6764705882352942,0.6486486486486487,0.6764705882352942,0.7777777777777778
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_613,"[2.0, 2.0, 2.0, 2.0, 2.0]",26.67,41.67,0.6818181818181818,0.3333333333333333,"[32, 13, 7, 10, 4]","[9, 4, 3, 4, 1]","[23, 9, 4, 6, 3]",,,66,USDCAD_D1_2010to101124,6,20,sqrt,25,200,8,1,2,0.6,0.71875,0.6923076923076923,0.5714285714285714,0.6,0.75
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_541,"[2.0, 2.0, 2.0, 2.0, 2.0]",26.67,,0.4,0.3333333333333333,"[63, 38, 20, 10, 4]","[37, 25, 11, 4, 4]","[26, 13, 9, 6, 0]",True,0.0,135,USDCAD_D1_2010to101124,15,5,sqrt,30,100,42,1,2,0.6,0.4126984126984127,0.34210526315789475,0.45,0.6,0.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_595,"[3.0, 3.0, 3.0, 3.0, 3.0]",25.0,25.0,0.391304347826087,0.25,"[45, 20, 28, 14, 8]","[29, 11, 19, 7, 4]","[16, 9, 9, 7, 4]",,,115,USDCAD_D1_2010to101124,1,15,sqrt,25,250,42,1,3,0.56,0.35555555555555557,0.45,0.32142857142857145,0.5,0.5
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_179,"[3.0, 3.0, 3.0, 3.0, 3.0]",25.0,75.0,0.631578947368421,0.25,"[4, 4, 6, 4, 1]","[0, 1, 4, 2, 0]","[4, 3, 2, 2, 1]",,,19,USDCAD_D1_2010to101124,6,20,log2,20,100,0,1,3,0.6,1.0,0.75,0.3333333333333333,0.5,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_149,"[3.0, 3.0, 3.0, 3.0, 3.0]",25.0,75.0,0.5454545454545454,0.25,"[7, 6, 4, 4, 1]","[2, 3, 3, 2, 0]","[5, 3, 1, 2, 1]",,,22,USDCAD_D1_2010to101124,6,10,log2,15,100,42,1,3,0.6,0.7142857142857143,0.5,0.25,0.5,1.0
HD_4123d1a6-dccf-4c16-a76d-b15ea9a9efdb_510,"[3.0, 3.0, 3.0, 3.0, 3.0]",25.0,25.0,0.39285714285714285,0.25,"[25, 42, 9, 6, 2]","[14, 27, 6, 3, 1]","[11, 15, 3, 3, 1]",,,84,USDCAD_D1_2010to101124,15,6,log2,25,120,42,1,3,0.56,0.44,0.35714285714285715,0.3333333333333333,0.5,0.5
