Pair,Signal,Approach,RSI (Buy/Sell),EMA (Short/Long),MACD (Short/Long/Signal),Risk/Reward,Final Equity,Return (%),Max Drawdown (%),Profit Factor,Sharpe Ratio,Win Rate (%),Total Trades,Avg Trade Duration,Equity Curve Image
EURUSD,Buy,Filter,60/40,10/30,12/26/9,1:1,1247.1659691870084,24.71659691870084,-25.60076850476859,1.4857721258997174,0.5095483836613732,62.5,8,5 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_60_40_EMA_10_30_MACD_12_26_9_RR_1_1.png
EURUSD,Buy,Filter,65/40,12/28,13/25/9,1:1,1044.328749763005,4.432874976300491,-29.05321009673272,1.0865674175008517,0.08481442713608603,53.84615384615385,13,10 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_65_40_EMA_12_28_MACD_13_25_9_RR_1_1.png
EURUSD,Buy,Filter,70/45,14/32,14/24/10,1:1,828.6454360140131,-17.135456398598695,-32.89981193979984,0.6398774504672926,0.0,40.0,15,10 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_70_45_EMA_14_32_MACD_14_24_10_RR_1_1.png
EURUSD,Buy,Filter,55/35,8/25,11/24/8,1:1,1571.9571482240017,57.19571482240017,-5.767476007200145,,1.7770127875306574,100.0,3,4 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_55_35_EMA_8_25_MACD_11_24_8_RR_1_1.png
EURUSD,Buy,Filter,60/40,11/29,12/27/10,1:1,928.6115237050034,-7.1388476294996615,-25.600272191625063,0.898628731507957,0.0,50.0,6,7 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_60_40_EMA_11_29_MACD_12_27_10_RR_1_1.png
EURUSD,Buy,Filter,65/45,13/31,14/28/11,1:1,878.1886501260074,-12.181134987399265,-29.05373148341095,0.8094475751638781,0.0,46.15384615384615,13,10 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_65_45_EMA_13_31_MACD_14_28_11_RR_1_1.png
EURUSD,Buy,Filter,70/50,15/35,15/30/12,1:1,520.5658882950125,-47.94341117049875,-55.91976817669882,0.4954400219556506,0.0,33.33333333333333,15,8 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_70_50_EMA_15_35_MACD_15_30_12_RR_1_1.png
EURUSD,Buy,Filter,58/38,9/26,12/25/9,1:1,1299.584044443007,29.958404444300708,-22.4481437501713,3.814904274747427,0.9088714961361144,80.0,5,4 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_58_38_EMA_9_26_MACD_12_25_9_RR_1_1.png
EURUSD,Buy,Filter,63/43,12/30,13/27/10,1:1,1024.617138253997,2.4617138253996926,-25.42006963325072,0.9260890838372039,0.050159930461178566,50.0,12,8 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_63_43_EMA_12_30_MACD_13_27_10_RR_1_1.png
EURUSD,Buy,Filter,68/48,14/34,14/28/11,1:1,713.6413871200111,-28.635861287998885,-41.726061183566124,0.5329551441206452,0.0,35.714285714285715,14,10 days,plots/EURUSD\EURUSD_Buy_Filter_RSI_68_48_EMA_14_34_MACD_14_28_11_RR_1_1.png
EURUSD,Buy,WithoutFilter,N/A,N/A,N/A,1:1,438.11501861805004,-56.188498138195,-71.83920966325192,0.8769857836555185,0.0,46.42857142857143,56,7 days,plots/EURUSD\EURUSD_Buy_WithoutFilter_RR_1_1.png
EURUSD,Sell,Filter,60/40,10/30,12/26/9,1:1,836.3226033040021,-16.36773966959979,-49.56921805168986,0.5279994395851995,0.0,37.5,8,9 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_60_40_EMA_10_30_MACD_12_26_9_RR_1_1.png
EURUSD,Sell,Filter,65/40,12/28,13/25/9,1:1,836.3226033040021,-16.36773966959979,-49.56921805168986,0.5279994395851995,0.0,37.5,8,9 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_65_40_EMA_12_28_MACD_13_25_9_RR_1_1.png
EURUSD,Sell,Filter,70/45,14/32,14/24/10,1:1,1106.091535178001,10.60915351780011,-17.32702214276446,1.8085175808016907,0.3165640313076383,66.66666666666666,3,3 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_70_45_EMA_14_32_MACD_14_24_10_RR_1_1.png
EURUSD,Sell,Filter,55/35,8/25,11/24/8,1:1,1271.3596624239897,27.13596624239897,-41.57439460269964,1.3789700705004262,0.2693456439502862,61.53846153846154,26,7 days,plots/EURUSD\EURUSD_Sell_Filter_RSI_55_35_EMA_8_25_MACD_11_24_8_RR_1_1.png
