time,open,high,low,close,WILLR_15,WILLR_23,WILLR_42,WILLR_145,rolling_mean_open,rolling_std_open,rolling_mean_close,rolling_std_close,rolling_mean_high,rolling_std_high,rolling_mean_low,rolling_std_low,open_lag_1,close_lag_1,high_lag_1,low_lag_1,open_lag_2,close_lag_2,high_lag_2,low_lag_2,open_lag_3,close_lag_3,high_lag_3,low_lag_3,open_lag_4,close_lag_4,high_lag_4,low_lag_4,open_lag_5,close_lag_5,high_lag_5,low_lag_5,b_flag,s_flag
2010-07-23,1.04321,1.05624,1.04067,1.05433,-46.78279416992558,-79.84923946695392,-88.796587337225,-74.25370799173918,1.04968,0.004227522915377702,1.050882,0.004572031277231103,1.054576,0.0021443483858573894,1.043654,0.003656450464609515,1.05058,1.04321,1.05101,1.03936,1.05198,1.05063,1.05418,1.04844,1.05433,1.05194,1.05549,1.04515,1.0483,1.0543,1.05596,1.04465,1.04148,1.05049,1.05412,1.03992,0,0
2010-07-26,1.054,1.05549,1.04596,1.0487,-66.79701386420224,-86.11358905738935,-93.01002843885652,-77.77708242067717,1.05082,0.0045207244994627475,1.0497619999999999,0.00419583960608323,1.054482,0.0020777800653412055,1.043916,0.0037901490736040985,1.04321,1.05433,1.05624,1.04067,1.05058,1.04321,1.05101,1.03936,1.05198,1.05063,1.05418,1.04844,1.05433,1.05194,1.05549,1.04515,1.0483,1.0543,1.05596,1.04465,0,0
2010-07-27,1.04876,1.06391,1.04809,1.05986,-27.1240668325632,-68.58718970272754,-84.6579853315372,-70.79291570185867,1.049706,0.0041068942036584875,1.0513460000000001,0.0062269759916014225,1.056166,0.00476866123769829,1.044504,0.004231776222833564,1.054,1.0487,1.05549,1.04596,1.04321,1.05433,1.05624,1.04067,1.05058,1.04321,1.05101,1.03936,1.05198,1.05063,1.05418,1.04844,1.05433,1.05194,1.05549,1.04515,0,0
2010-07-28,1.05991,1.06227,1.05365,1.05666,-38.499822253821975,-68.20437419592002,-87.05283640173634,-72.79554415169915,1.051292,0.006201610274762738,1.052552,0.006624852451185864,1.0577839999999998,0.005272227233335447,1.045546,0.005795690640478933,1.04876,1.05986,1.06391,1.04809,1.054,1.0487,1.05549,1.04596,1.04321,1.05433,1.05624,1.04067,1.05058,1.04321,1.05101,1.03936,1.05198,1.05063,1.05418,1.04844,0,0
2010-07-29,1.05664,1.05785,1.03735,1.04108,-87.62441937624418,-92.93158991851428,-97.12811826301201,-82.54584141685964,1.0525039999999999,0.006606612596485625,1.052126,0.007399005338556126,1.0591519999999999,0.003739842242651703,1.045144,0.006372988310058079,1.05991,1.05666,1.06227,1.05365,1.04876,1.05986,1.06391,1.04809,1.054,1.0487,1.05549,1.04596,1.04321,1.05433,1.05624,1.04067,1.05058,1.04321,1.05101,1.03936,0,0
2010-07-30,1.04114,1.04656,1.03614,1.04101,-84.46570972886785,-90.11969973625497,-96.28499504157453,-82.58964891419991,1.0520900000000002,0.007356874336295427,1.0494620000000001,0.008692014726171123,1.057216,0.006842585768547191,1.044238,0.00740626559071039,1.05664,1.04108,1.05785,1.03735,1.05991,1.05666,1.06227,1.05365,1.04876,1.05986,1.06391,1.04809,1.054,1.0487,1.05549,1.04596,1.04321,1.05433,1.05624,1.04067,0,0
2010-08-02,1.04008,1.04751,1.0347,1.03907,-85.35522788203762,-90.08170676350434,-96.70263336603034,-84.06679640906525,1.049306,0.008920946138165117,1.047536,0.00988774645710391,1.05562,0.008151306643718333,1.041986,0.008397346604740756,1.04114,1.04101,1.04656,1.03614,1.05664,1.04108,1.05785,1.03735,1.05991,1.05666,1.06227,1.05365,1.04876,1.05986,1.06391,1.04809,1.054,1.0487,1.05549,1.04596,0,0
2010-08-03,1.03907,1.04131,1.03472,1.03943,-83.8069154399174,-86.41195058891088,-96.4309967554515,-83.84079352125049,1.047368,0.010050267160630294,1.04345,0.007440084004899351,1.0511,0.008655564684059147,1.039312,0.008090832466450149,1.04008,1.03907,1.04751,1.0347,1.04114,1.04101,1.04656,1.03614,1.05664,1.04108,1.05785,1.03735,1.05991,1.05666,1.06227,1.05365,1.04876,1.05986,1.06391,1.04809,0,0
2010-08-04,1.03939,1.05536,1.03782,1.05343,-35.87812393016035,-42.878926501982065,-85.51766798113343,-76.12225405921673,1.043264,0.007519376968874834,1.0428039999999998,0.006008933349601922,1.049718,0.006773187580447851,1.036146,0.0014470936390503838,1.03907,1.03943,1.04131,1.03472,1.04008,1.03907,1.04751,1.0347,1.04114,1.04101,1.04656,1.03614,1.05664,1.04108,1.05785,1.03735,1.05991,1.05666,1.06227,1.05365,0,0
2010-08-05,1.05344,1.05409,1.04121,1.04626,-60.42451215337203,-64.74534919182683,-90.4241219350563,-81.75483870967749,1.042624,0.00609814971938578,1.0438399999999999,0.0060834694048676466,1.048966,0.005780608099493854,1.036918,0.002719874997159997,1.03939,1.05343,1.05536,1.03782,1.03907,1.03943,1.04131,1.03472,1.04008,1.03907,1.04751,1.0347,1.04114,1.04101,1.04656,1.03614,1.05664,1.04108,1.05785,1.03735,0,0
2010-08-06,1.04633,1.05073,1.03305,1.03883,-81.27025275437487,-83.21718931475061,-95.24240678245131,-89.28452579034942,1.0436619999999999,0.006222834563126686,1.043404,0.0064065419689532995,1.0497999999999998,0.005645945447835391,1.0363000000000002,0.0032418127645160496,1.05344,1.04626,1.05409,1.04121,1.03939,1.05343,1.05536,1.03782,1.03907,1.03943,1.04131,1.03472,1.04008,1.03907,1.04751,1.0347,1.04114,1.04101,1.04656,1.03614,0,0
2010-08-09,1.0371,1.04978,1.0371,1.04872,-49.22229423201513,-54.50058072009274,-87.10181907975958,-82.70216306156394,1.043066,0.006770297630093127,1.045334,0.006225490342130837,1.050254,0.0055052820091193114,1.03678,0.003121113583350789,1.04633,1.03883,1.05073,1.03305,1.05344,1.04626,1.05409,1.04121,1.03939,1.05343,1.05536,1.03782,1.03907,1.03943,1.04131,1.03472,1.04008,1.03907,1.04751,1.0347,0,0
2010-08-10,1.04869,1.06174,1.04605,1.04802,-51.49060272197024,-56.53310104529641,-87.07030575228889,-88.82570372476546,1.0449899999999999,0.006717518142889036,1.047052,0.005306285895046396,1.05434,0.004735203269124709,1.039046,0.004872907756172493,1.0371,1.04872,1.04978,1.0371,1.04633,1.03883,1.05073,1.03305,1.05344,1.04626,1.05409,1.04121,1.03939,1.05343,1.05536,1.03782,1.03907,1.03943,1.04131,1.03472,0,0
2010-08-11,1.04807,1.0624,1.04742,1.0604,-11.373946856772244,-20.586527293844473,-76.18425635667018,-80.45451297077109,1.046726,0.005990787093533127,1.048446,0.007752430586594785,1.055748,0.00599373589674488,1.040966,0.006024319878638347,1.04869,1.04802,1.06174,1.04605,1.0371,1.04872,1.04978,1.0371,1.04633,1.03883,1.05073,1.03305,1.05344,1.04626,1.05409,1.04121,1.03939,1.05343,1.05536,1.03782,0,0
2010-08-12,1.06039,1.06054,1.04643,1.04979,-45.755022683084775,-46.84026675134974,-83.38956142091688,-88.03687558064748,1.0481159999999998,0.008299468657693857,1.0491519999999999,0.007663815629304477,1.057038,0.006236851769917808,1.0420099999999999,0.006509911673759687,1.04807,1.0604,1.0624,1.04742,1.04869,1.04802,1.06174,1.04605,1.0371,1.04872,1.04978,1.0371,1.04633,1.03883,1.05073,1.03305,1.05344,1.04626,1.05409,1.04121,0,0
2010-08-13,1.04977,1.05475,1.04816,1.05089,-42.19053791315572,-42.19053791315572,-82.12603947500241,-87.25076824126342,1.048804,0.008256874711417306,1.0515640000000002,0.0050577791569003635,1.057842,0.005426907038076642,1.045032,0.004510938926669257,1.06039,1.04979,1.06054,1.04643,1.04807,1.0604,1.0624,1.04742,1.04869,1.04802,1.06174,1.04605,1.0371,1.04872,1.04978,1.0371,1.04633,1.03883,1.05073,1.03305,0,0
2010-08-16,1.04801,1.0533,1.03501,1.03933,-79.65003240440672,-79.65003240440672,-92.20843672456567,-95.51204173515323,1.050986,0.005304364240890841,1.049686,0.00752117876399515,1.058546,0.0042119211768414065,1.044614,0.005432414748538759,1.04977,1.05089,1.05475,1.04816,1.06039,1.04979,1.06054,1.04643,1.04807,1.0604,1.0624,1.04742,1.04869,1.04802,1.06174,1.04605,1.0371,1.04872,1.04978,1.0371,0,0
2010-08-17,1.03926,1.04469,1.03613,1.04335,-64.90630323679734,-66.62346079066748,-87.22084367245661,-92.63917673122276,1.0491000000000001,0.007533053829625903,1.048752,0.008051088125214491,1.055136,0.006975093547754683,1.04263,0.006486127504154543,1.04801,1.03933,1.0533,1.03501,1.04977,1.05089,1.05475,1.04816,1.06039,1.04979,1.06054,1.04643,1.04807,1.0604,1.0624,1.04742,1.04869,1.04802,1.06174,1.04605,0,0
